                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.0518,                  0.758,                 1.0332,                0.67503,                0.40494,                0.42192,                0.25093,                 1.7805,                 1.3533,                 1.4437,              0.0001279,              0.0001279,              0.0001279
                    104,                 1.1246,                0.82233,                 1.0714,                0.69759,                0.39383,                0.42684,                0.25569,                 1.7729,                 1.3352,                 1.4326,             0.00011644,             0.00011644,             0.00011644
                    105,                 1.0494,                0.75313,                 1.0192,                0.71393,                0.40123,                0.42917,                0.25162,                 1.7927,                 1.3521,                 1.4411,             0.00010559,             0.00010559,             0.00010559
                    106,                 1.0864,                0.78384,                  1.041,                0.71831,                0.39506,                0.42304,                0.24426,                 1.8257,                 1.3527,                 1.4618,             9.5359e-05,             9.5359e-05,             9.5359e-05
                    107,                 1.0356,                 0.7606,                 1.0336,                0.70182,                  0.401,                0.43233,                 0.2594,                 1.7498,                  1.309,                  1.438,             8.5755e-05,             8.5755e-05,             8.5755e-05
                    108,                 1.0641,                0.76627,                 1.0458,                 0.7008,                 0.4037,                0.43386,                 0.2605,                 1.7541,                 1.3141,                 1.4355,             7.6785e-05,             7.6785e-05,             7.6785e-05
                    109,                 1.0425,                0.76279,                 1.0328,                0.70213,                0.40864,                0.43213,                0.25742,                 1.7864,                 1.3227,                 1.4454,             6.8454e-05,             6.8454e-05,             6.8454e-05
                    110,                 1.0435,                0.76885,                 1.0333,                0.69814,                0.40831,                0.42914,                0.25971,                 1.7709,                 1.3157,                 1.4421,             6.0768e-05,             6.0768e-05,             6.0768e-05
                    111,                 1.3859,                 1.0659,                 1.2622,                0.71714,                 0.4037,                 0.4284,                0.25263,                 1.7881,                 1.3198,                 1.4517,             5.3733e-05,             5.3733e-05,             5.3733e-05
                    112,                 1.3747,                 1.0446,                 1.2481,                0.69824,                 0.3963,                0.43219,                0.24792,                 1.8201,                 1.3322,                 1.4693,             4.7354e-05,             4.7354e-05,             4.7354e-05
                    113,                 1.3413,                 1.0295,                 1.2491,                0.71928,                0.39877,                0.43398,                 0.2521,                 1.8002,                 1.3139,                 1.4619,             4.1634e-05,             4.1634e-05,             4.1634e-05
                    114,                  1.318,                 1.0301,                 1.2392,                0.73129,                0.39383,                0.43872,                0.26077,                 1.7486,                 1.2872,                 1.4396,             3.6578e-05,             3.6578e-05,             3.6578e-05
                    115,                 1.3028,                  1.009,                 1.2221,                0.74513,                0.39136,                0.43963,                0.25924,                  1.754,                 1.2924,                 1.4426,             3.2189e-05,             3.2189e-05,             3.2189e-05
                    116,                 1.2772,                0.98865,                 1.2053,                0.76874,                0.38642,                0.44059,                 0.2583,                 1.7753,                 1.2989,                 1.4475,              2.847e-05,              2.847e-05,              2.847e-05
                    117,                 1.2958,                 0.9964,                 1.2191,                0.75252,                0.38765,                0.43626,                0.25374,                 1.8008,                 1.3138,                 1.4538,             2.5423e-05,             2.5423e-05,             2.5423e-05
                    118,                 1.2937,                 1.0074,                 1.2252,                0.74278,                0.38502,                0.43544,                0.25364,                 1.8109,                 1.3196,                 1.4569,             2.3052e-05,             2.3052e-05,             2.3052e-05
                    119,                 1.2924,                 0.9883,                 1.2052,                0.77317,                0.38714,                0.44008,                0.25794,                 1.7906,                 1.3082,                 1.4474,             2.1357e-05,             2.1357e-05,             2.1357e-05
                    120,                 1.2863,                0.98146,                 1.2101,                 0.7341,                0.39877,                0.44179,                0.26233,                 1.7689,                 1.3041,                 1.4382,             2.0339e-05,             2.0339e-05,             2.0339e-05
